"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00185",,"#",47,,,"#Q00185"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00077",,"#",84,,,"#Q00077"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00534",,"#",56,,,"#Q00534"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00103",,"#",57,,,"#Q00103"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00001",,"#",70,,,"#Q00001"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00040",,"#",53,,,"#Q00040"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00642",,"#",76,,,"#Q00642"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00048",,"#",67,,,"#Q00048"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00706",,"#",61,,,"#Q00706"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00068",,"#",28,,,"#Q00068"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00676",,"#",57,,,"#Q00676"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00413",,"#",51,,,"#Q00413"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00127",,"#",82,,,"#Q00127"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00727",,"#",52,,,"#Q00727"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00157",,"#",96,,,"#Q00157"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00081",,"#",61,,,"#Q00081"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00130",,"#",56,,,"#Q00130"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00558",,"#",71,,,"#Q00558"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00348",,"#",62,,,"#Q00348"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00709",,"#",52,,,"#Q00709"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00345",,"#",79,,,"#Q00345"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00498",,"#",45,,,"#Q00498"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00215",,"#",63,,,"#Q00215"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00378",,"#",53,,,"#Q00378"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00258",,"#",64,,,"#Q00258"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00576",,"#",59,,,"#Q00576"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00375",,"#",80,,,"#Q00375"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00086",,"#",75,,,"#Q00086"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00528",,"#",56,,,"#Q00528"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00135",,"#",72,,,"#Q00135"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00070",,"#",54,,,"#Q00070"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00329",,"#",70,,,"#Q00329"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00253",,"#",66,,,"#Q00253"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00003",,"#",53,,,"#Q00003"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00584",,"#",77,,,"#Q00584"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00674",,"#",0,AB,,"#Q00674"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00622",,"#",68,,,"#Q00622"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00367",,"#",71,,,"#Q00367"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00625",,"#",48,,,"#Q00625"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00654",,"#",51,,,"#Q00654"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00382",,"#",0,AB,,"#Q00382"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00505",,"#",94,,,"#Q00505"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00339",,"#",50,,,"#Q00339"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00361",,"#",93,,,"#Q00361"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00232",,"#",59,,,"#Q00232"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00701",,"#",57,,,"#Q00701"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00261",,"#",65,,,"#Q00261"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00467",,"#",0,AB,,"#Q00467"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00639",,"#",89,,,"#Q00639"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00590",,"#",50,,,"#Q00590"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00180",,"#",83,,,"#Q00180"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00365",,"#",71,,,"#Q00365"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00398",,"#",54,,,"#Q00398"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00268",,"#",70,,,"#Q00268"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00173",,"#",84,,,"#Q00173"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00275",,"#",53,,,"#Q00275"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00697",,"#",68,,,"#Q00697"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00729",,"#",67,,,"#Q00729"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00014",,"#",68,,,"#Q00014"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00490",,"#",69,,,"#Q00490"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00724",,"#",53,,,"#Q00724"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00540",,"#",67,,,"#Q00540"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00603",,"#",71,,,"#Q00603"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00488",,"#",65,,,"#Q00488"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00107",,"#",71,,,"#Q00107"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00306",,"#",76,,,"#Q00306"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00073",,"#",57,,,"#Q00073"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00493",,"#",55,,,"#Q00493"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00302",,"#",60,,,"#Q00302"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00197",,"#",63,,,"#Q00197"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00297",,"#",82,,,"#Q00297"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00455",,"#",57,,,"#Q00455"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00123",,"#",80,,,"#Q00123"
"2013/4","SEM2","#5CCS2FC2",1,"#5CCS2FC2MR1","#001","#Q00237",,"#",69,,,"#Q00237"
