"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00185",,"#",60,,,"#Q00185"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00077",,"#",83,,,"#Q00077"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00534",,"#",67,,,"#Q00534"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00103",,"#",0,AB,,"#Q00103"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00001",,"#",49,,,"#Q00001"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00040",,"#",61,,,"#Q00040"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00642",,"#",77,,,"#Q00642"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00048",,"#",57,,,"#Q00048"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00706",,"#",66,,,"#Q00706"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00068",,"#",45,,,"#Q00068"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00676",,"#",48,,,"#Q00676"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00413",,"#",59,,,"#Q00413"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00127",,"#",77,,,"#Q00127"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00727",,"#",49,,,"#Q00727"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00157",,"#",86,,,"#Q00157"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00081",,"#",72,,,"#Q00081"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00130",,"#",53,,,"#Q00130"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00558",,"#",66,,,"#Q00558"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00348",,"#",49,,,"#Q00348"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00709",,"#",46,,,"#Q00709"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00345",,"#",68,,,"#Q00345"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00498",,"#",35,,,"#Q00498"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00215",,"#",56,,,"#Q00215"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00378",,"#",52,,,"#Q00378"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00258",,"#",64,,,"#Q00258"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00576",,"#",57,,,"#Q00576"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00375",,"#",80,,,"#Q00375"
"2013/4","SEM1","#5CCS02DB",1,"#5CCS02DBMR1","#001","#Q00086",,"#",67,,,"#Q00086"
