"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00185",,"#",64,,,"#Q00185"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00077",,"#",87,,,"#Q00077"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00534",,"#",63,,,"#Q00534"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00103",,"#",54,,,"#Q00103"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00001",,"#",53,,,"#Q00001"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00040",,"#",55,,,"#Q00040"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00642",,"#",0,D,,"#Q00642"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00048",,"#",57,,,"#Q00048"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00706",,"#",55,,,"#Q00706"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00068",,"#",39,,,"#Q00068"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00676",,"#",46,,,"#Q00676"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00413",,"#",56,,,"#Q00413"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00127",,"#",77,,,"#Q00127"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00727",,"#",57,,,"#Q00727"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00157",,"#",82,,,"#Q00157"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00081",,"#",61,,,"#Q00081"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00130",,"#",52,,,"#Q00130"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#001","#Q00558",,"#",74,,,"#Q00558"
