"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00001",,"#",65,,,"#P00001"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00218",,"#",75,,,"#P00218"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00131",,"#",65,,,"#P00131"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00036",,"#",54,,,"#P00036"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00358",,"#",52,,,"#P00358"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00259",,"#",50,,,"#P00259"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00301",,"#",79,,,"#P00301"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00343",,"#",70,,,"#P00343"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00317",,"#",62,,,"#P00317"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00053",,"#",35,,,"#P00053"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00208",,"#",47,,,"#P00208"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00192",,"#",51,,,"#P00192"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00203",,"#",76,,,"#P00203"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00319",,"#",42,,,"#P00319"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00235",,"#",88,,,"#P00235"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00213",,"#",69,,,"#P00213"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00201",,"#",38,,,"#P00201"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00230",,"#",73,,,"#P00230"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00338",,"#",51,,,"#P00338"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00285",,"#",48,,,"#P00285"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00088",,"#",71,,,"#P00088"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00279",,"#",39,,,"#P00279"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00188",,"#",56,,,"#P00188"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00323",,"#",57,,,"#P00323"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00004",,"#",63,,,"#P00004"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00093",,"#",57,,,"#P00093"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00127",,"#",75,,,"#P00127"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00194",,"#",81,,,"#P00194"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00309",,"#",0,AB,,"#P00309"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00155",,"#",70,,,"#P00155"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00292",,"#",45,,,"#P00292"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00240",,"#",61,,,"#P00240"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00071",,"#",59,,,"#P00071"
"2012/3","SEM1","#4CCS1ELA",1,"#4CCS1ELAMR1","#001","#P00304",,"#",62,,,"#P00304"
