"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00185",,"#",57,,,"#Q00185"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00077",,"#",74,,,"#Q00077"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00534",,"#",67,,,"#Q00534"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00103",,"#",51,,,"#Q00103"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00001",,"#",61,,,"#Q00001"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00040",,"#",54,,,"#Q00040"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00642",,"#",78,,,"#Q00642"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00048",,"#",59,,,"#Q00048"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00706",,"#",56,,,"#Q00706"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00068",,"#",46,,,"#Q00068"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00676",,"#",48,,,"#Q00676"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00413",,"#",57,,,"#Q00413"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00127",,"#",79,,,"#Q00127"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00727",,"#",66,,,"#Q00727"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00157",,"#",85,,,"#Q00157"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00081",,"#",59,,,"#Q00081"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00130",,"#",60,,,"#Q00130"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00558",,"#",70,,,"#Q00558"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00348",,"#",55,,,"#Q00348"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00709",,"#",50,,,"#Q00709"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00345",,"#",72,,,"#Q00345"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00498",,"#",46,,,"#Q00498"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00215",,"#",54,,,"#Q00215"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00378",,"#",65,,,"#Q00378"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00258",,"#",69,,,"#Q00258"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00576",,"#",67,,,"#Q00576"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00375",,"#",0,AB,,"#Q00375"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00086",,"#",81,,,"#Q00086"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00528",,"#",65,,,"#Q00528"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00135",,"#",62,,,"#Q00135"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00070",,"#",60,,,"#Q00070"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00329",,"#",0,AB,,"#Q00329"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00253",,"#",52,,,"#Q00253"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00003",,"#",74,,,"#Q00003"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00584",,"#",88,,,"#Q00584"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00674",,"#",60,,,"#Q00674"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00622",,"#",74,,,"#Q00622"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00367",,"#",76,,,"#Q00367"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00625",,"#",52,,,"#Q00625"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00654",,"#",47,,,"#Q00654"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00382",,"#",91,,,"#Q00382"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00505",,"#",87,,,"#Q00505"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00339",,"#",52,,,"#Q00339"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00361",,"#",76,,,"#Q00361"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00232",,"#",66,,,"#Q00232"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00701",,"#",52,,,"#Q00701"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00261",,"#",60,,,"#Q00261"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00467",,"#",70,,,"#Q00467"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00639",,"#",82,,,"#Q00639"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00590",,"#",43,,,"#Q00590"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00180",,"#",86,,,"#Q00180"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00365",,"#",67,,,"#Q00365"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00398",,"#",53,,,"#Q00398"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00268",,"#",85,,,"#Q00268"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00173",,"#",79,,,"#Q00173"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00275",,"#",55,,,"#Q00275"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00697",,"#",0,AB,,"#Q00697"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00729",,"#",68,,,"#Q00729"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00014",,"#",60,,,"#Q00014"
"2013/4","SEM1","#5CCS2CSL",1,"#5CCS2CSLMR1","#001","#Q00490",,"#",74,,,"#Q00490"
