"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00001",,"#",65,,,"#P00001"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00218",,"#",77,,,"#P00218"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00131",,"#",61,,,"#P00131"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00036",,"#",60,,,"#P00036"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00358",,"#",54,,,"#P00358"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00259",,"#",0,D,,"#P00259"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00301",,"#",82,,,"#P00301"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00343",,"#",71,,,"#P00343"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00317",,"#",53,,,"#P00317"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00053",,"#",30,,,"#P00053"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00208",,"#",62,,,"#P00208"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00192",,"#",58,,,"#P00192"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00203",,"#",90,,,"#P00203"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00319",,"#",56,,,"#P00319"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00235",,"#",100,,,"#P00235"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00213",,"#",70,,,"#P00213"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00201",,"#",52,,,"#P00201"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00230",,"#",58,,,"#P00230"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00338",,"#",50,,,"#P00338"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00285",,"#",53,,,"#P00285"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00088",,"#",67,,,"#P00088"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00279",,"#",49,,,"#P00279"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00188",,"#",63,,,"#P00188"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00323",,"#",52,,,"#P00323"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00004",,"#",73,,,"#P00004"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00093",,"#",62,,,"#P00093"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00127",,"#",77,,,"#P00127"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00194",,"#",83,,,"#P00194"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00309",,"#",0,AB,,"#P00309"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00155",,"#",57,,,"#P00155"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00292",,"#",62,,,"#P00292"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00240",,"#",0,D,,"#P00240"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00071",,"#",58,,,"#P00071"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00304",,"#",72,,,"#P00304"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00109",,"#",81,,,"#P00109"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00099",,"#",60,,,"#P00099"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00161",,"#",73,,,"#P00161"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00067",,"#",72,,,"#P00067"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00044",,"#",55,,,"#P00044"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00031",,"#",47,,,"#P00031"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00314",,"#",87,,,"#P00314"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00119",,"#",91,,,"#P00119"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00114",,"#",48,,,"#P00114"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00136",,"#",80,,,"#P00136"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00095",,"#",55,,,"#P00095"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00024",,"#",53,,,"#P00024"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00079",,"#",50,,,"#P00079"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00263",,"#",77,,,"#P00263"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00142",,"#",89,,,"#P00142"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00176",,"#",52,,,"#P00176"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00083",,"#",87,,,"#P00083"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00244",,"#",75,,,"#P00244"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00270",,"#",41,,,"#P00270"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00268",,"#",72,,,"#P00268"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00172",,"#",92,,,"#P00172"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00028",,"#",54,,,"#P00028"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00349",,"#",75,,,"#P00349"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00069",,"#",87,,,"#P00069"
"2012/3","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#001","#P00345",,"#",71,,,"#P00345"
