"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00185",,"#",48,,,"#Q00185"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00077",,"#",85,,,"#Q00077"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00534",,"#",53,,,"#Q00534"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00103",,"#",55,,,"#Q00103"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00001",,"#",57,,,"#Q00001"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00040",,"#",53,,,"#Q00040"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00642",,"#",81,,,"#Q00642"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00048",,"#",52,,,"#Q00048"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00706",,"#",59,,,"#Q00706"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00068",,"#",47,,,"#Q00068"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00676",,"#",60,,,"#Q00676"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00413",,"#",0,AB,,"#Q00413"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00127",,"#",71,,,"#Q00127"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00727",,"#",67,,,"#Q00727"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00157",,"#",100,,,"#Q00157"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00081",,"#",0,AB,,"#Q00081"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00130",,"#",57,,,"#Q00130"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00558",,"#",67,,,"#Q00558"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00348",,"#",58,,,"#Q00348"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00709",,"#",46,,,"#Q00709"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00345",,"#",64,,,"#Q00345"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00498",,"#",37,,,"#Q00498"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00215",,"#",54,,,"#Q00215"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00378",,"#",64,,,"#Q00378"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00258",,"#",61,,,"#Q00258"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#001","#Q00576",,"#",0,D,,"#Q00576"
