"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00402",,"#",54,,,"#Q00402"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00404",,"#",42,,,"#Q00404"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00508",,"#",72,,,"#Q00508"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00636",,"#",71,,,"#Q00636"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00631",,"#",0,AB,,"#Q00631"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00513",,"#",64,,,"#Q00513"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00031",,"#",60,,,"#Q00031"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00187",,"#",46,,,"#Q00187"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00088",,"#",79,,,"#Q00088"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00353",,"#",52,,,"#Q00353"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00572",,"#",50,,,"#Q00572"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00289",,"#",57,,,"#Q00289"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00465",,"#",80,,,"#Q00465"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00153",,"#",76,,,"#Q00153"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00036",,"#",79,,,"#Q00036"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00099",,"#",65,,,"#Q00099"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00356",,"#",45,,,"#Q00356"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00019",,"#",50,,,"#Q00019"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00283",,"#",63,,,"#Q00283"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00650",,"#",48,,,"#Q00650"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00587",,"#",63,,,"#Q00587"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00027",,"#",68,,,"#Q00027"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00325",,"#",47,,,"#Q00325"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00442",,"#",75,,,"#Q00442"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00597",,"#",59,,,"#Q00597"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00547",,"#",64,,,"#Q00547"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00007",,"#",80,,,"#Q00007"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00045",,"#",75,,,"#Q00045"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00263",,"#",51,,,"#Q00263"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00671",,"#",63,,,"#Q00671"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00095",,"#",82,,,"#Q00095"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00055",,"#",100,,,"#Q00055"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00536",,"#",78,,,"#Q00536"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00333",,"#",79,,,"#Q00333"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00581",,"#",61,,,"#Q00581"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00308",,"#",84,,,"#Q00308"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00486",,"#",79,,,"#Q00486"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00218",,"#",0,AB,,"#Q00218"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00175",,"#",67,,,"#Q00175"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00210",,"#",64,,,"#Q00210"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00190",,"#",88,,,"#Q00190"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00316",,"#",74,,,"#Q00316"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00435",,"#",47,,,"#Q00435"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00244",,"#",54,,,"#Q00244"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00161",,"#",54,,,"#Q00161"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00387",,"#",70,,,"#Q00387"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00613",,"#",61,,,"#Q00613"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00417",,"#",42,,,"#Q00417"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00249",,"#",60,,,"#Q00249"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00608",,"#",55,,,"#Q00608"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00524",,"#",62,,,"#Q00524"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00321",,"#",73,,,"#Q00321"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00647",,"#",54,,,"#Q00647"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00692",,"#",0,AB,,"#Q00692"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00634",,"#",74,,,"#Q00634"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00170",,"#",52,,,"#Q00170"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00110",,"#",38,,,"#Q00110"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00090",,"#",69,,,"#Q00090"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00341",,"#",0,AB,,"#Q00341"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00437",,"#",44,,,"#Q00437"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00460",,"#",59,,,"#Q00460"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00542",,"#",78,,,"#Q00542"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00011",,"#",42,,,"#Q00011"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00719",,"#",68,,,"#Q00719"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00470",,"#",67,,,"#Q00470"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00595",,"#",92,,,"#Q00595"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00164",,"#",69,,,"#Q00164"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00271",,"#",0,AB,,"#Q00271"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00150",,"#",61,,,"#Q00150"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00222",,"#",58,,,"#Q00222"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00688",,"#",30,,,"#Q00688"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00053",,"#",65,,,"#Q00053"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00312",,"#",77,,,"#Q00312"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00475",,"#",71,,,"#Q00475"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00679",,"#",45,,,"#Q00679"
"2013/4","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#001","#Q00615",,"#",71,,,"#Q00615"
