"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00402",,"#",70,,,"#Q00402"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00404",,"#",39,,,"#Q00404"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00508",,"#",73,,,"#Q00508"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00636",,"#",59,,,"#Q00636"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00631",,"#",66,,,"#Q00631"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00513",,"#",70,,,"#Q00513"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00031",,"#",42,,,"#Q00031"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00187",,"#",57,,,"#Q00187"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00088",,"#",83,,,"#Q00088"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00353",,"#",53,,,"#Q00353"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00572",,"#",43,,,"#Q00572"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00289",,"#",56,,,"#Q00289"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00465",,"#",87,,,"#Q00465"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00153",,"#",80,,,"#Q00153"
"2013/4","SEM2","#4CCS1IAI",1,"#4CCS1IAIMR1","#001","#Q00036",,"#",64,,,"#Q00036"
