"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00185",,"#",71,,,"#Q00185"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00077",,"#",0,AB,,"#Q00077"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00534",,"#",64,,,"#Q00534"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00103",,"#",50,,,"#Q00103"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00001",,"#",61,,,"#Q00001"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00040",,"#",54,,,"#Q00040"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00642",,"#",95,,,"#Q00642"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00048",,"#",55,,,"#Q00048"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00706",,"#",66,,,"#Q00706"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00068",,"#",0,D,,"#Q00068"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00676",,"#",61,,,"#Q00676"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00413",,"#",0,D,,"#Q00413"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00127",,"#",67,,,"#Q00127"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00727",,"#",65,,,"#Q00727"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00157",,"#",93,,,"#Q00157"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00081",,"#",71,,,"#Q00081"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00130",,"#",54,,,"#Q00130"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00558",,"#",75,,,"#Q00558"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00348",,"#",48,,,"#Q00348"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00709",,"#",42,,,"#Q00709"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00345",,"#",68,,,"#Q00345"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00498",,"#",50,,,"#Q00498"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00215",,"#",48,,,"#Q00215"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00378",,"#",57,,,"#Q00378"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00258",,"#",66,,,"#Q00258"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00576",,"#",47,,,"#Q00576"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00375",,"#",80,,,"#Q00375"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00086",,"#",73,,,"#Q00086"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00528",,"#",47,,,"#Q00528"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00135",,"#",70,,,"#Q00135"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00070",,"#",57,,,"#Q00070"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00329",,"#",56,,,"#Q00329"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00253",,"#",72,,,"#Q00253"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00003",,"#",69,,,"#Q00003"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00584",,"#",71,,,"#Q00584"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00674",,"#",52,,,"#Q00674"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00622",,"#",73,,,"#Q00622"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00367",,"#",76,,,"#Q00367"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00625",,"#",51,,,"#Q00625"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00654",,"#",37,,,"#Q00654"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00382",,"#",87,,,"#Q00382"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00505",,"#",87,,,"#Q00505"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00339",,"#",45,,,"#Q00339"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00361",,"#",81,,,"#Q00361"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00232",,"#",66,,,"#Q00232"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00701",,"#",60,,,"#Q00701"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00261",,"#",68,,,"#Q00261"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00467",,"#",65,,,"#Q00467"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00639",,"#",84,,,"#Q00639"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00590",,"#",43,,,"#Q00590"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00180",,"#",90,,,"#Q00180"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00365",,"#",76,,,"#Q00365"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00398",,"#",43,,,"#Q00398"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00268",,"#",82,,,"#Q00268"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00173",,"#",75,,,"#Q00173"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00275",,"#",40,,,"#Q00275"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00697",,"#",62,,,"#Q00697"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00729",,"#",79,,,"#Q00729"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00014",,"#",72,,,"#Q00014"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00490",,"#",79,,,"#Q00490"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00724",,"#",45,,,"#Q00724"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00540",,"#",83,,,"#Q00540"
"2013/4","SEM2","#5CCS2PLD",1,"#5CCS2PLDMR1","#001","#Q00603",,"#",65,,,"#Q00603"
